coverage,measure,scale,spearman
0.1,ip,0.01,0.3814525194670383
0.1,wip,0.01,0.3246198690219979
0.5,ip,0.01,0.5387551010187226
0.5,wip,0.01,0.4568054460297768
100.0,ip,0.01,0.9411311296051118
100.0,wip,0.01,0.8240922020471761
10.0,ip,0.01,0.8360510159751384
10.0,wip,0.01,0.8469590334319901
15.0,ip,0.01,0.8003502878713922
15.0,wip,0.01,0.8100964249704752
1.0,ip,0.01,0.5501664878988556
1.0,wip,0.01,0.5110616281409766
2.0,ip,0.01,0.5713525022416082
2.0,wip,0.01,0.5625898479155882
30.0,ip,0.001,0.6126966378419372
30.0,wip,0.001,0.8026977410967834
30.0,ip,0.01,0.8700111760650521
30.0,wip,0.01,0.8311476262576017
30.0,ip,0.05,0.9494105965727605
30.0,wip,0.05,0.8710187275737443
50.0,ip,0.01,0.9065931111587664
50.0,wip,0.01,0.8352951498853181
5.0,ip,0.01,0.6974982278739389
5.0,wip,0.01,0.7387275133488231

